ID Producto **,Nombre Producto *,Costo,Activo,Medida Base
FRU084,JENGIBRE,18000,1,kg
FRU092,FRAMBUESA,151040,1,kg
FRU097,ZUMO MARACUYA,0,1,L
POS002,TORTA DE ZANAHORIA,8767,1,UN
POS006,CHESCAKE DE FRUTOS ROJOS,13230,1,UN
POS008,BROWNIE POSTRE,2750,1,UN
FRU045,LECHUGA CRESPA,3500,1,kg
FRU060,PIÑA,3800,1,kg
FRU062,REPOLLO BLANCO,2500,1,kg
FRU063,REPOLLO MORADO,3500,1,kg
FRU066,TOMATE CHERRY,19000,1,kg
FRU082,BROTES,210000,1,kg
FRU087,BREVAS,14029,1,kg
FRU089,UCHUA,8000,1,kg
FRU091,ARRACACHA,0,1,kg
FRU096,ZUMO DE PIÑA,0,1,L
FRU098,UVA IMPORTADA,21500,1,kg
POS001,TORTA MARIA LUISA,0,1,UN
POS009,MUFFIN DULCE,7800,1,UN
FRU048,LIMON MANDARINO,3500,1,kg
FRU049,LULO,5500,1,kg
FRU050,MANZANA ROJA,12200,1,kg
FRU051,MANZANA VERDE,12200,1,kg
FRU052,MEZCLUM,56000,1,kg
FRU054,NARANJA,2500,1,kg
FRU069,TOMATE RIÑON VERDE,7000,1,kg
FRU070,TORONJA,10000,1,kg
FRU077,CHAMPIÑON,45650,1,kg
FRU079,CHILE ANCHO SECO,190800,1,kg
FRU080,CHILE SECO ARBOL,182000,1,kg
FRU086,RAIZ CHINA,9200,1,kg
FRU088,CAÑA,10000,1,kg
FRU093,ZUMO LIMON,8000,1,L
FRU094,ZUMO DE NARANJA,7500,1,L
FRU095,ZUMO MANDARINA,12000,1,L
POS003,TORTA CHOCOLATE,8860,1,UN
POS004,TORTA DE CHOCOLATE Y AREQUIPE,7052,1,UN
POS007,CHESCAKE DE BOCADILLO,9660,1,UN
BEB012,HIDRA TAO 600 ML COCO LIMON,5350,1,UN
BEB015,HIDRA TAO 600 ML NARANJA PIÑA,5350.25,1,UN
BEB023,MONSTER 473 ML BLANCO,7350,1,UN
BEB026,MONSTER 473 ML VERDE,7350,1,UN
BEB029,MR TEA LIMON 300 ML,1499.9,1,UN
BEB030,MR TEA LIMON LIGHT,1499.9,1,UN
BEB034,RED BULL 250 ML AMARILLO,6387.5,1,UN
BEB036,RED BULL 250 ML ORIGINAL,5237,1,UN
BEB040,SPRITE,1757.7,1,UN
BEB042,TE CHAI,56900,1,kg
BEB048,AGUA HATSU 300 ML,1760.41,1,UN
BEB050,AGUA TONICA CANADA DRY 300ML,2130,1,UN
BEB053,CANADA DRY 300 ML,1908.7,1,UN
BEB055,HATSU 400 ML AMARILLO,3458.25,1,UN
POS012,HELADO DE VAINILLA,8000,1,kg
BEB003,COCACOLA ZERO 400 ML,2299,1,UN
BEB014,HIDRA TAO 600 ML MORA AZUL,5350.25,1,UN
BEB017,JUGO HIT 230ML MANGO,1391.6,1,UN
BEB021,JUGO HIT 230ML TROPICAL,1391.6,1,UN
BEB024,MONSTER 473 ML MANGO LOCO,7350,1,UN
BEB025,MONSTER 473 ML MORADO,7350,1,UN
BEB028,MR TEA DURAZNO 300 ML,1499.9,1,UN
BEB032,PONY MALTA,2011.6,1,UN
BEB033,QUATRO 350ML,1899.9,1,UN
BEB038,RED BULL 250 ML SUGAR FREE,5237,1,UN
BEB041,TAMARINDO POSTOBON 350ML,2083.3,1,UN
BEB043,TONICA FEVEER TREE 20ML GINGER BEER,4949.9,1,UN
BEB045,TONICA FEVEER TREE 20ML MEDITERRANEAN,8899.9,1,UN
BEB049,AGUA HATSU GAS 300 ML,1760,1,UN
BEB052,BRETAÑA POSTOBON 300ML,2120.8,1,UN
BEB054,"COCA COLA 1,5 L",5200,1,UN
BEB058,HATSU 400 ML FUCSIA,3458.16,1,UN
BEB060,HATSU 400 ML NEGRO,3458,1,UN
BEB004,COCACOLA 400 ML,2699,1,UN
BEB007,COLOMBIANA 350ML,2083,1,UN
BEB008,GATORADE 500 ML MANDARINA,3083.3,1,UN
BEB009,GATORADE 500 ML MARACUYA,3083.3,1,UN
BEB013,HIDRA TAO 600 ML MARACUYA,5350.25,1,UN
BEB027,MONSTER NEGRO GUARANA,7350,1,UN
BEB031,NARANJADA POSTOBON 350ML,1726.66,1,UN
BEB035,RED BULL 250 ML NARANJA,6387.5,1,UN
BEB039,RED BULL 250 ML VERDE,6387.5,1,UN
BEB047,AGUA 600,1900,1,UN
BEB051,BRETAÑA 2.5 L (1.5),1830,1,L
BEB056,HATSU 400 ML AZUL,3458.14,1,UN
BEB059,HATSU 400 ML MORADO,3458.16,1,UN
BEB061,HATSU 400 ML ROJO,3458,1,UN
POS010,CROCANTE DE 4 QUESOS,2950,1,UN
POS011,CROCANTES DE ALMENDRAS,3250,1,UN
BEB001,COCACOLA 350ML,2083.33,1,UN
BEB002,COCACOLA ZERO 350 ML,2083,1,UN
BEB010,GATORADE 500 ML TROPICAL,3083,1,UN
BEB011,H2O 600ML LIMA LIMON,2166.66,1,UN
BEB016,HIDRA TAO 600 ML SANDIA CEREZA,5350,1,UN
BEB018,JUGO HIT 230ML MORA,1391.6,1,UN
BEB019,JUGO HIT 230ML NARANJA,1391.6,1,UN
BEB020,JUGO HIT 230ML PIÑA,1391.6,1,UN
BEB022,MONSTER 473 ML AZUL ZERO,7350,1,UN
BEB037,RED BULL 250 ML ROJO,6387.5,1,UN
BEB044,TONICA FEVEER TREE 20ML INDÚ,4867,1,UN
BEB046,TONICA MIL 976 OCEAN,3893,1,UN
BEB057,HATSU 400 ML BLANCO,3458.16,1,UN
LIC003,BT AGUARDIENTE REAL AMARILLO 750 ML,54900,1,L
LIC005,BT AGUARDIENTE TAPA ROJA 750 ML,40075,1,UN
LIC014,BT GIN GORDONS DRY 700 ML,94450,1,L
LIC017,BT GIN TANQUERAY RAMPUR 750 ML,202880,1,L
LIC024,BT MARTINI EXTRA DRY SECO 750 ML,74530,1,L
LIC025,BT MARTINI ROSSO 750 ML,75900,1,L
LIC031,BT RON BACARDI AÑEJO 750 ML,53066,1,L
LIC038,BT RON MEDELLIN DORADO 750 ML,39553,1,UN
LIC039,BT RON MEDELLIN PINK 750 ML,95860,1,L
LIC041,BT RON PAMPERO 700 ML ANIVERSARIO,129900,1,UN
LIC043,BT RON PARCE 8 AÑOS 750 ML,182500,1,L
LIC045,BT RON ZACAPA AMBAR 750 ML,161230,1,L
